Brand,Arcsoft SDK,Biometric SensorTech SDK,Face++ SDK,SenseTime SDK
8849,0,0,0,2
alps,0,0,2,5
asus,0,0,31,0
blackshark,0,0,3,6
blackview,0,0,0,2
blu,0,0,1,3
camfone,0,0,0,3
clearcellular,0,0,0,3
cubot,0,0,0,2
daria,0,1,0,0
deutschetelekom,0,6,0,0
digma,0,0,0,1
doogee,0,0,0,3
fairphone,0,0,2,0
general_luxe,0,0,0,1
gigaset,0,2,0,1
gm,0,0,0,1
google,0,0,1,1
hisense,0,0,0,2
hmd,0,0,5,0
huawei,0,0,1,0
iiif150,0,0,0,2
infinix,0,0,0,24
iqoo,0,0,6,0
itel,0,0,0,1
kirin710,0,0,1,0
kirin970,0,0,1,0
lava,0,4,0,5
leeco,0,0,0,3
lenovo,8,0,27,0
m-horse,0,0,0,1
meitu,0,0,0,1
meizu,0,0,2,21
mi,0,0,0,1
micromax,0,0,0,2
motorola,82,0,9,0
neffos,0,0,0,1
nokia,0,0,9,0
nothing,1,0,0,7
nubia,0,0,4,0
omix,0,0,0,2
oneplus,0,0,0,76
oplus,0,0,0,5
oppo,0,0,0,93
oukitel,0,0,0,1
palm,0,0,1,0
panasonic,0,0,1,0
poco,0,0,0,15
qti,0,0,0,24
rakuten,0,0,1,0
realme,0,0,1,93
redmi,0,0,0,33
samsung,9,1,0,0
sharp,0,0,1,0
smartisan,0,0,4,0
sonim,0,0,1,0
sprd,0,0,1,0
symphony,0,0,1,0
t-mobile,0,1,0,0
tcl,0,0,1,0
tecno,0,0,0,16
ulefone,0,0,0,5
umidigi,0,0,0,1
unihertz,0,0,0,3
unknown,0,0,1,0
vestel,0,0,0,1
visible,0,1,0,0
vivo,0,0,86,12
walton,0,0,1,0
wiko,0,0,1,0
xiaomi,0,0,3,30
yuho,0,0,0,1
zte,0,0,0,1
